id,labnr,bp,std,cal_bp,cal_std,delta_c13,source_database,lab_name,material,species,feature,feature_type,site,country,lat,lng,site_type,periods,typochronological_units,ecochronological_units,reference
65794,Mc-710,4950,100,,,0,"","",,,,open air,El Ouarr,ML,28.33,-11.33,open air,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66294,Gif-6184,3490,90,,,0,"","",,,,,Abri Rihane,MA,34.48,-1.87,,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""van Willigen 2008""}, {""reference"": ""CalPal2022""}]"
66295,Gif-6490,3900,90,,,0,"","",,,,,Abri Rihane,MA,34.48,-1.87,,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""van Willigen 2009""}, {""reference"": ""CalPal2022""}]"
66296,GrO-1188,1380,60,,,0,"","",,,,,Acusa,MA,28,-15.68,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66297,GrO-1197,1520,45,,,0,"","",,,,,Acusa,MA,28,-15.68,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66298,Hv-7066,2060,55,,,0,"","",,,,,Agadir km45,MA,31.95,-5.87,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66299,Gif-3260,4300,110,,,0,"","",,,,,Akhful,MA,26.23,-14.42,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66300,CNA-1162,893,52,,,0,"","",,,,shelter,Aougni n’Ourigh (Oukaïmeden),MA,31.2027,-7.8586,shelter,"[{""periode"": ""Islamic""}]","[{""typochronological_unit"": ""Islamic""}]","[{""ecochronological_unit"": ""Islamic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66301,CNA-1163,4278,50,,,0,"","",,,,shelter,Aougni n’Ourigh (Oukaïmeden),MA,31.2027,-7.8586,shelter,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66302,CNA-1164,4296,39,,,0,"","",,,,shelter,Aougni n’Ourigh (Oukaïmeden),MA,31.2027,-7.8586,shelter,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66303,CNA-1165,5147,55,,,0,"","",,,,shelter,Aougni n’Ourigh (Oukaïmeden),MA,31.2027,-7.8586,shelter,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66304,CSIC-2181,4582,45,,,0,"","",,,,shelter,Aougni n’Ourigh (Oukaïmeden),MA,31.2027,-7.8586,shelter,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66305,CSIC-2182,4303,46,,,0,"","",,,,shelter,Aougni n’Ourigh (Oukaïmeden),MA,31.2027,-7.8586,shelter,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66306,CSIC-2232,4476,33,,,0,"","",,,,shelter,Aougni n’Ourigh (Oukaïmeden),MA,31.2027,-7.8586,shelter,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66307,Gif-3259,2000,90,,,0,"","",,,,,Aueital,MA,26.83,-13.48,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66308,CSIC-187,1800,60,,,0,"","",,,,,Barranco Hondo,MA,28.4,-16.36,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66309,CSIC-188,1970,60,,,0,"","",,,,,Barranco Hondo,MA,28.4,-16.36,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66310,CSIC-199,2490,60,,,0,"","",,,,,Barranco Hondo,MA,28.4,-16.36,,[],[],[],"[{""reference"": ""EUROEVOL (CalPal)""}, {""reference"": ""CalPal2022""}]"
66311,Poz-40743,2780,35,,,0,"","",charcoal,,,open air,Blirh/Upper Moulouya,MA,32.8042,-4.3706,open air,"[{""periode"": ""Protohistoric""}]","[{""typochronological_unit"": ""Protohistoric""}]","[{""ecochronological_unit"": ""Protohistoric""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66312,Poz-40744,2725,35,,,0,"","",charcoal,,,open air,Blirh/Upper Moulouya,MA,32.8042,-4.3706,open air,"[{""periode"": ""Protohistoric""}]","[{""typochronological_unit"": ""Protohistoric""}]","[{""ecochronological_unit"": ""Protohistoric""}]","[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66313,Poz-40749,4450,35,,,0,"","",charcoal,,,open air,Blirh/Upper Moulouya,MA,32.8042,-4.3706,open air,[],[],[],"[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66314,Poz-40750,4435,35,,,0,"","",charcoal,,,open air,Blirh/Upper Moulouya,MA,32.8042,-4.3706,open air,[],[],[],"[{""reference"": ""Christoph Database""}, {""reference"": ""CalPal2022""}]"
66315,Gif-6491,3820,90,,,0,"","",,,,,Bou Gennouna,MA,34.52,-1.83,,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""van Willigen 2010""}, {""reference"": ""CalPal2022""}]"
66316,Gif-6492,3400,80,,,0,"","",charcoal,,,,Bou Gennouna,MA,34.52,-1.83,,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""van Willigen 2006""}, {""reference"": ""CalPal2022""}]"
66317,Gif-6880,3400,80,,,0,"","",charcoal,,,Rock shelter,Bou Guennouna,MA,34.52,-1.83,Rock shelter,"[{""periode"": ""Neolithic""}]","[{""typochronological_unit"": ""Neolithic""}]","[{""ecochronological_unit"": ""Neolithic""}]","[{""reference"": ""Wengler and Vernet 1992""}, {""reference"": ""CalPal2022""}]"
66318,KIA-31006,3755,35,,,-23.17,"","",charcoal,,,,Bouchih 1,MA,,,,"[{""periode"": ""Bronze Age""}]","[{""typochronological_unit"": ""Bronze Age""}]","[{""ecochronological_unit"": ""Bronze Age""}]","[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66319,KIA-31000,915,30,,,-21.17,"","",charcoal,,,,Bouchih 2,MA,,,,"[{""periode"": ""Islamic""}]","[{""typochronological_unit"": ""Islamic""}]","[{""ecochronological_unit"": ""Islamic""}]","[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
66320,KIA-31005,930,25,,,-23.56,"","",charcoal,,,,Bouchih 2,MA,,,,"[{""periode"": ""Islamic""}]","[{""typochronological_unit"": ""Islamic""}]","[{""ecochronological_unit"": ""Islamic""}]","[{""reference"": ""Linstädter 2012b""}, {""reference"": ""CalPal2022""}]"
