"ID","Culture_ID","Date_ID","Phase_ID","BasisOfLink"
1,"Iberomaurusian","NoLabID-01","DZ021-1",NULL
2,"Iberomaurusian","ALG-25","DZ009-1",NULL
3,"Epipalaeolithic with pottery","ALG-25","DZ009-1",NULL
4,"Keremian","ALG-25","DZ009-1",NULL
5,"Iberomaurusian","ALG-26","DZ010-1",NULL
6,"Epipalaeolithic with pottery","ALG-26","DZ010-1",NULL
7,"Keremian","ALG-26","DZ010-1",NULL
8,"Neolithic of Capsian Tradition","Gif-1221","DZ005-2",NULL
9,"Upper Capsian","Gif-1220","DZ005-1",NULL
10,"Upper Capsian","ALG-13","DZ005-1",NULL
11,"Upper Capsian","ALG-12","DZ005-1",NULL
12,"Neolithic of Capsian Tradition","Gif-884","DZ048-2",NULL
13,"Neolithic of Capsian Tradition Atlas variety","Gif-884","DZ048-2",NULL
14,"Upper Capsian","MC-280","DZ048-1",NULL
15,"Neolithic of Capsian Tradition Atlas variety","MC-280","DZ048-1",NULL
16,"Iberomaurusian","ALG-28","DZ022-1",NULL
17,"Upper Capsian","MC-316","DZ023-1",NULL
18,"Proto Neolithic","MC-328","DZ008-1",NULL
19,"Neolithic of Capsian Tradition Atlas variety","MC-328","DZ008-1",NULL
20,"Neolithic without pottery","ALG-33","DZ008-1",NULL
21,"Neolithic of Capsian Tradition Atlas variety","ALG-33","DZ008-1",NULL
22,"Upper Capsian","MC-285","DZ024-2",NULL
23,"Upper Capsian","ALG-18","DZ024-2",NULL
24,"Neolithic","ALG-20","DZ024-1",NULL
25,"Final Upper Capsian","ALG-20","DZ024-1",NULL
26,"Neolithic of Capsian Tradition","MC-208","DZ044-1",NULL
27,"Neolithic of Capsian Tradition","ALG-10","DZ018-1",NULL
28,"Neolithic of Capsian Tradition","ALG-11","DZ018-1",NULL
29,"Neolithic of Capsian Tradition","ALG-39","DZ012-1",NULL
30,"Typical Capsian","Gif-1714","DZ047-5",NULL
31,"Upper Capsian","Gif-1714","DZ047-5",NULL
32,"Typical Capsian","Gif-1715","DZ047-3",NULL
33,"Typical Capsian","Gif-1896","DZ047-5",NULL
34,"Typical Capsian","Gif-1897","DZ047-5",NULL
35,"Typical Capsian","Gif-1898","DZ047-5",NULL
36,"Typical Capsian","Gif-1901","DZ047-4",NULL
37,"Typical Capsian","Gif-1902","DZ047-4",NULL
38,"Typical Capsian","Gif-2120","DZ047-2",NULL
39,"Typical Capsian","Gif-2121","DZ047-1",NULL
40,"Upper Capsian","Gif-1900","DZ047-5",NULL
41,"Upper Capsian","Gif-1899","DZ047-6",NULL
42,"Upper Capsian","Gif-2119","DZ047-3",NULL
43,"Upper Capsian","Gif-306","DZ045-2",NULL
44,"Undetermined Typical/Upper Capsian","Poz-92376","DZ045-1",NULL
45,"Undetermined Typical/Upper Capsian","Poz-92378","DZ045-1",NULL
46,"Undetermined Typical/Upper Capsian","Poz-92377","DZ045-1",NULL
47,"Upper Capsian","Gif-308","DZ017-6",NULL
48,"Epipalaeolithic with pottery","Gif-308","DZ017-6",NULL
49,"Upper Capsian","Gif-309","DZ017-7",NULL
50,"Epipalaeolithic with pottery","Gif-309","DZ017-7",NULL
51,"Columnatian","MC-154","DZ017-5",NULL
52,"Epipalaeolithic","MC-154","DZ017-5",NULL
53,"Upper Capsian","MC-153","DZ017-6",NULL
54,"Columnatian","MC-155","DZ017-4",NULL
55,"Neolithic of Capsian Tradition","MC-156","DZ017-8",NULL
56,"Neolithic of Capsian Tradition","Gif-307","DZ017-9",NULL
57,"Iberomaurusian","ALG-97","DZ017-2",NULL
58,"Columnatian","MC-211","DZ017-4",NULL
59,"Columnatian","Poz-103172","DZ017-3",NULL
60,"Iberomaurusian","Poz-103169","DZ017-1",NULL
61,"Iberomaurusian","Poz-103168","DZ017-1",NULL
62,"Iberomaurusian","Poz-103171","DZ017-1",NULL
63,"Iberomaurusian","Poz-102948","DZ017-2",NULL
64,"Neolithic","Gif-3408","DZ032-1",NULL
65,"Neolithic of Capsian Tradition","Gif-883","DZ037-1",NULL
66,"Neolithic of Capsian Tradition","Gif-3012","DZ037-1",NULL
67,"Upper Capsian","I-7690","DZ004-7",NULL
68,"Typical Capsian","I-7691","DZ004-2",NULL
69,"Upper Capsian","I-7691","DZ004-2",NULL
70,"Upper Capsian","I-9781","DZ004-6",NULL
71,"Upper Capsian","I-9782","DZ004-6",NULL
72,"Typical Capsian","I-9783","DZ004-5",NULL
73,"Upper Capsian","I-9783","DZ004-5",NULL
74,"Typical Capsian","I-9784","DZ004-5",NULL
75,"Upper Capsian","I-9784","DZ004-5",NULL
76,"Typical Capsian","I-9785","DZ004-1",NULL
