"ID","Date_ID","BibTexKey","ContentType"
1,"NoLabID-01","RoubetAmara.2016","D"
2,"NoLabID-01","Linstadter.2008Transit","D"
3,"NoLabID-01","WenglerVernet.1994EvChr","D"
4,"NoLabID-01","LubellSheppard.1991Maghreb","D"
5,"NoLabID-01","Close.1980CurResRecI","D"
6,"NoLabID-01","DelibriasRoche.1976Epipal","D"
7,"NoLabID-01","Camps.1974TablChron2","D"
8,"NoLabID-01","CampsDelibrias.1973ChroCiv","D"
9,"NoLabID-01","Camps.1968TablChronPRec","D"
10,"NoLabID-01","Tixier.1954GisPreEHamel","C; Z"
13,"ALG-25","Linstadter.2008Transit","D"
14,"ALG-25","LubellSheppard.1991Maghreb","D"
15,"ALG-25","Close.1980CurResRecI","D"
16,"ALG-25","Camps.1974TablChron2","D"
17,"ALG-25","CampsDelibrias.1973ChroCiv","D"
18,"ALG-25","RahmouniRoussillot.1972AlgiersII","D"
19,"ALG-25","Goetz.1967StatBou","C; Z"
22,"ALG-26","Linstadter.2008Transit","D"
23,"ALG-26","LubellSheppard.1991Maghreb","D"
24,"ALG-26","Close.1980CurResRecI","D"
25,"ALG-26","Camps.1974TablChron2","D"
26,"ALG-26","CampsDelibrias.1973ChroCiv","D"
27,"ALG-26","RahmouniRoussillot.1972AlgiersII","D"
28,"ALG-26","Goetz.1967StatBou","C; Z"
31,"Gif-1221","RoubetAmara.2016","D"
32,"Gif-1221","DaugasEldrissi.2008DonDoc","D"
33,"Gif-1221","DaugasELIdrissi.2008Marru","D"
34,"Gif-1221","VernetAumassip.1992Inv14C","D"
35,"Gif-1221","LubellSheppard.1991Maghreb","D"
36,"Gif-1221","Close.1980CurResRecI","D"
37,"Gif-1221","Camps.1974TablChron2","D"
38,"Gif-1221","CampsDelibrias.1973ChroCiv","D"
39,"Gif-1221","DelibriasGuillier.1972GIFVII","D"
40,"Gif-1221","Roubet.1971Def","D"
41,"Gif-1221","Roubet.1969IntDatNeoCap","D"
42,"Gif-1221","Grebenart.1969AinNaga","D"
45,"Gif-1220","CalPal","D"
46,"Gif-1220","RoubetAmara.2016","D"
47,"Gif-1220","Linstadter.2008Transit","D"
48,"Gif-1220","Rahmani.2004NouvChron","D"
49,"Gif-1220","Rahmani.2004Techn","D"
50,"Gif-1220","VernetAumassip.1992Inv14C","D"
51,"Gif-1220","Gragueb.1983IberoGobert","D"
52,"Gif-1220","Close.1980CurResRecI","D"
53,"Gif-1220","Camps.1974TablChron2","D"
54,"Gif-1220","CampsDelibrias.1973ChroCiv","D"
55,"Gif-1220","DelibriasGuillier.1972GIFVII","D"
56,"Gif-1220","Grebenart.1969AinNaga","D"
59,"ALG-13","Linstadter.2008Transit","D"
60,"ALG-13","Rahmani.2004NouvChron","D"
61,"ALG-13","Rahmani.2004Techn","D"
62,"ALG-13","VernetAumassip.1992Inv14C","D"
63,"ALG-13","LubellSheppard.1991Maghreb","D"
64,"ALG-13","Gragueb.1983IberoGobert","D"
65,"ALG-13","Close.1980CurResRecI","D"
66,"ALG-13","Camps.1974TablChron2","D"
67,"ALG-13","CampsDelibrias.1973ChroCiv","D"
68,"ALG-13","RahmouniRoussillot.1970AlgiersI","D"
69,"ALG-13","Grebenart.1969AinNaga","D"
72,"ALG-12","Linstadter.2008Transit","D"
