"Date_ID","Lab_ID","Other_Lab_ID","Problems","CRA","Error","DC13","DC13_Error","Date_Method","Calibration_Curve","Local_Reservoir_14Cyr","Local_Reservoir_14Cyr_Error","Material","Species","Site_ID","Phase_ID","Phase_by_Excavator","Site_Context","Sample_ID","Notes"
"NoLabID-01",NULL,NULL,"NoLabID",9540,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ021","DZ021-1","unique","Layer E, 110-140 cm",NULL,"In Roubet and Amara 2016 the date is published in BC"
"ALG-25","ALG-25",NULL,NULL,10215,400,NULL,NULL,NULL,"Marine13",60,70,"shell (marine)",NULL,"DZ009","DZ009-1","unique",NULL,NULL,NULL
"ALG-26","ALG-26",NULL,NULL,9700,400,NULL,NULL,NULL,"IntCal13",NULL,NULL,"eggshell","Struthio camelus","DZ010","DZ010-1","unique",NULL,NULL,NULL
"Gif-1221","Gif-1221",NULL,NULL,7500,220,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ005","DZ005-2","no","K16c2 upper",NULL,"Daugas et al. 2008 and Daugas and El Idrissi 2008 report the error as ±120. Ben Moussa 2008 reports the date as 7500±170 obtained from Helix but it is not correct"
"Gif-1220","Gif-1220",NULL,NULL,9170,200,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ005","DZ005-1","no","K16f2 lower",NULL,"In Roubet and Amara 2016 the date is published in BC. In Camps et al. 1973 the material is reported as land snail shell"
"ALG-13","ALG-13",NULL,NULL,8900,280,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ005","DZ005-1","no","K11-K12e: 30-40 cm deep",NULL,"According to Linstädter 2008 obtained on humic acid"
"ALG-12","ALG-12",NULL,NULL,9300,300,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)","Helix","DZ005","DZ005-1","no","K11-K12c: 20-30 cm deep",NULL,"According to Linstädter 2008 obtained on humic acid"
"Gif-884","Gif-884",NULL,NULL,6970,170,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ048","DZ048-2","no",NULL,NULL,"Ben Moussa 2008 reports the materials as ostrich eggshell but it is wrong"
"MC-280","MC-280",NULL,NULL,7220,100,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (terrestrial)",NULL,"DZ048","DZ048-1","no",NULL,NULL,NULL
"ALG-28","ALG-28",NULL,NULL,8220,820,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"DZ022","DZ022-1","unique",NULL,NULL,"LabID error in Lubell et al. 1991"
