"Site_ID","Site_Name","Site_Type","Admin_Region","Country","Decimal_Degrees_Lat","Decimal_Degrees_Long","Location_Quality"
"DZ021","El Hamel",NULL,"Oran","DZ",35.1333,4.0833,"C"
"DZ009","Bou Aïchem - Crique des Pêcheurs 136","Open air site","Oran","DZ",35.8167,-0.4833,"C"
"DZ010","Bou Aïchem - Crique des Pêcheurs 140","Open air site","Oran","DZ",35.8167,-0.4833,"C"
"DZ005","Aïn Naga","Open air site","Djelfa","DZ",34.35,3.4833,"C"
"DZ048","Safiet bou Rhenan","Rock shelter","Djelfa","DZ",34.3833,3.45,"C"
"DZ022","El Haouita terrasse","Open air site","Laghouat","DZ",33.6833,2.7167,"C"
"DZ023","El Haouita versant","Open air site","Laghouat","DZ",33.6833,2.7167,"C"
"DZ008","Botma Si Mamar","Open air site","Batna","DZ",34.3667,4.8833,"C"
"DZ024","El Mermouta",NULL,"Ouled Djellal and Messad","DZ",34.5833,5.35,"C"
"DZ044","Ouled Zouaï","Shell midden","Constantine","DZ",36.35,6.6,"C"
"DZ018","Damous el Ahmar","Cave","Tebessa","DZ",35.3533,8.0903,"A"
"DZ012","Bou Zabouine Cave 2","Cave","Constantine","DZ",36.0167,6.0567,"C"
"DZ047","Relilaï (B)","Shell midden","Tebessa","DZ",35.0333,7.7,"C"
"DZ045","R'fana","Open air site","Tebessa","DZ",35.3807,8.0684,"A"
"DZ017","Columnata","Rock shelter","Tiaret","DZ",35.4583,1.5281,"A"
"DZ032","Hassi Menikel","Open air site","Hassi R'mel","DZ",34,3,"D"
"DZ037","Le Méandre, Brezina","Open air site","Naâma","DZ",33.05,-1.3,"C"
"DZ020","El Arouya Cave","Cave","Naâma","DZ",33.1,-1.25,"C"
"DZ004","Aïn Misteheyia","Open air shell midden","Tebessa","DZ",35.1942,7.765,"A"
"DZ036","Koudiat Kifène Lahda","Open air / Rock shelter","Constantine","DZ",35.9167,6.5,"C"
"DZ002","Aïn Boucherit","Shell midden","Sétif","DZ",36.2167,5.65,"C"
"DZ039","Medjez I","Shell midden","Sétif","DZ",36.1838,5.6969,"A"
"DZ040","Medjez II","Shell midden","Sétif","DZ",36.1869,5.6995,"A"
"DZ003","Aïn Dokkara","Shell midden","Tebessa","DZ",35.3333,8.2667,"C"
"DZ034","Kef Zoura D","Rock shelter","Tebessa","DZ",35.0406,7.6772,"A"
"DZ019","Dra-Mta el-Ma-el-Abiod","Shell midden","Tebessa","DZ",35.1833,8.1667,"C"
"DZ035","Khanguet el-Mouhaâd","Shell midden","Tebessa","DZ",35.4137,8.3111,"A"
"DZ046","Rabah","Shell midden","Ouled Djellal","DZ",34.4333,5.1333,"C"
"DZ014","Capéletti (KMST)","Cave","Batna","DZ",35.3392,6.4347,"A"
"DZ051","Tamar Hat","Rock shelter","Bejaia","DZ",36.6401,5.3691,"A"
"DZ057","Canrobert 14","Open air site","Constantine","DZ",35.8094,7.2343,"A"
"DZ050","Canrobert 51","Open air site","Constantine","DZ",35.9338,7.3481,"A"
"DZ029","Gueldaman","Cave","Akbou","DZ",36.4519,4.5997,"A"
"DZ042","Oued Guettar",NULL,"Oran","DZ",35.6,-1.1667,"C"
"DZ015","Chemin de Kristel",NULL,"Oran","DZ",35.8067,0.4833,"B"
"DZ027","El Outed C (Djebel)","Rock shelter Shell midden","Tebessa","DZ",34.0833,0.0833,"C"
"DZ011","Bou Sfer - Cimetière des Escargots","Open air site","Oran","DZ",34.6667,-1.1667,"C"
"DZ001","Aïoun Berriche - Canrobert 12","Shell midden","Constantine","DZ",35.892,7.3727,"A"
"DZ058","Mechta el Arbi","Open air site","Mila","DZ",36.0994,6.1309,"A"
"DZ059","Oued Medfoun - Canrobert 10","Open air site","Oum-El-Bouaghi","DZ",35.8094,7.2368,"A"
"DZ060","Saint-Trivier / Chabet el-Houidga","Open air site","Mascara","DZ",35.3948,0.1568,"A"
"DZ028","Grotte Piste, Brezina","Cave","Naâma","DZ",33.0917,-1.25,"C"
"DZ013","Brezina Oued Seggueur, Brezina","Open air site","Naâma","DZ",33.0833,-1.25,"C"
"DZ056","Wadi Redif",NULL,"Gafsa-Tébessa","DZ",35.1781,7.6728,"A"
"DZ054","Wadi Mezeraa","Shell midden","Tebessa","DZ",35.1469,7.6761,"A"
"DZ055","Wadi Oussif",NULL,"Tebessa","DZ",35.0831,7.7333,"C"
"DZ025","El Onçor",NULL,"Oran","DZ",35.1667,4.1333,"C"
"DZ053","Tipasa 2",NULL,"Algiers","DZ",36.5,2.4333,"C"
"DZ052","Taza I - Madeleine Cave",NULL,"Jijel","DZ",35.7025,5.5408,"A"
"DZ041","Medracen","Funerary monument","Batna","DZ",35.7,6.4167,"C"
"DZ006","Biskra [1]",NULL,"Biskra","DZ",34.8333,5.8833,"C"
"DZ007","Biskra [2]",NULL,"Biskra","DZ",34.7667,5.95,"C"
"DZ026","El Oued 40 km N",NULL,"El Oued","DZ",33,8,"D"
"DZ033","Hydra",NULL,"Algiers","DZ",36.6667,3.1667,"C"
"DZ038","Les Deux Mamelles",NULL,"Oran","DZ",36.0533,0.1756,"C"
"DZ030","Hafir 6",NULL,"Tlemcen","DZ",34.75,3.6667,"C"
"DZ031","Hafir 7",NULL,"Tlemcen","DZ",34.75,3.6667,"C"
"DZ043","Oued Télidjène A","Shell midden","Constantine","DZ",35.1428,7.7967,"A"
"EG013","E29G1E","Open air site","Fayum","EG",29.6053,30.7322,"B"
"EG014","E29G1F","Open air site","Fayum","EG",29.6053,30.7322,"B"
"EG015","Qasr El Sagha VIIA/80 (aka Qasr El Sagha VIIA/81, E29G3, or Site R)","Open air site","Fayum","EG",29.5808,30.6703,"B"
"EG016","E29H1 [aka E29H1 (L Basin)]","Open air site","Fayum","EG",29.5842,30.8344,"A"
"EG017","Kom W (aka E29H2)","Open air site","Fayum","EG",29.5889,30.7942,"A"
"EG022","FS1","Open air site","Fayum","EG",29.3389,30.5083,"C"
"EG023","FS2","Open air site","Fayum","EG",29.3333,30.5,"C"
"EG024","FS3","Open air site","Fayum","EG",29.3389,30.5083,"C"
"EG068","Qasr El Sagha VIIC/80","Open air site","Fayum","EG",29.5925,30.6758,"B"
"EG064","Qasr El Sagha VIA-1/81","Open air site","Fayum","EG",29.5925,30.6758,"B"
"EG069","Qasr El Sagha VIIG/80 (aka Qasr El Sagha VIIG/81)","Open air site","Fayum","EG",29.5925,30.6758,"C"
"EG065","Qasr El Sagha VIA-2/81","Open air site","Fayum","EG",29.5925,30.6758,"C"
"EG060","Qasr El Sagha I/79","Open air site","Fayum","EG",29.5925,30.6758,"C"
"EG061","Qasr El Sagha II/79","Open air site","Fayum","EG",29.5925,30.6758,"C"
"EG063","Qasr El Sagha V/79","Open air site","Fayum","EG",29.5925,30.6758,"C"
"EG066","Qasr El Sagha VID/80","Open air site","Fayum","EG",29.5925,30.6758,"C"
"EG067","Qasr El Sagha VIE/81","Open air site","Fayum","EG",29.5925,30.6758,"C"
"EG070","Qasr El Sagha VIII/80","Open air site","Fayum","EG",29.5925,30.6758,"C"
"EG062","Qasr El Sagha IX/81","Open air site","Fayum","EG",29.5925,30.6758,"C"
"EG071","Qasr El Sagha X/81","Open air site","Fayum","EG",29.5925,30.6758,"C"
"EG074","Qasr El Sagha XI/81","Open air site","Fayum","EG",29.5925,30.6758,"C"
"EG072","Qasr El Sagha X/81-2","Open air site","Fayum","EG",29.5925,30.6758,"C"
"EG073","Qasr El Sagha X/81-5","Open air site","Fayum","EG",29.5925,30.6758,"C"
"EG046","Kom K","Open air site","Fayum","EG",29.5875,30.8799,"A"
"EG047","L1 (L Basin)","Open air hearth","Fayum","EG",29.5869,30.8272,"A"
"EG044","K1 (K Basin)","Open air hearth","Fayum","EG",29.5972,30.8761,"B"
"EG156","Upper K","Silos","Fayum","EG",29.5923,30.8887,"A"
"EG020","Fayum",NULL,"Fayum","EG",29.5083,30.5083,"C"
"EG130","Sitra 83/11","Open air site","Qattara/Siwa","EG",28.7767,26.9283,"A"
"EG132","Sitra 83/12","Open air site","Qattara/Siwa","EG",28.7767,26.9283,"A"
"EG133","Sitra 85/05","Open air site","Qattara/Siwa","EG",28.7767,26.9283,"A"
"EG136","Sitra 85/14","Open air site","Qattara/Siwa","EG",28.7767,26.9283,"B"
"EG135","Sitra 85/12","Open air site","Qattara/Siwa","EG",28.7767,26.9283,"A"
"EG128","Sitra 83/06","Open air site","Qattara/Siwa","EG",28.7,26.9,"B"
"EG131","Sitra 83/11 Nord","Open air site","Qattara/Siwa","EG",28.7767,26.9283,"A"
"EG134","Sitra 85/05-2","Open air site","Qattara/Siwa","EG",28.7767,26.9283,"A"
"EG129","Sitra 83/07","Open air site","Qattara/Siwa","EG",28.7,26.5,"A"
"EG126","Shyiata - Siwa 75/1","Open air site","Qattara/Siwa","EG",29.3211,25.2024,"B"
"EG038","Hatiet Um El Hiyus - Siwa 75/5","Open air site","Qattara/Siwa","EG",29.2856,25.8304,"B"
"EG137","Siwa 75/29","Open air site","Qattara/Siwa","EG",29.6333,26.5,"C"
"EG025","Gara - Siwa 75/27","Open air site","Qattara/Siwa","EG",29.6008,26.5123,"B"
"EG037","Hatiet Um El Hiyus - Siwa 75/32","Open air site","Qattara/Siwa","EG",29.2856,25.8304,"B"
"EG018","El Arag - Siwa 76/11-10","Open air site","Qattara/Siwa","EG",28.9129,26.4067,"B"
"EG140","Siwa 76/19","Open air site","Qattara/Siwa","EG",29.8333,26.1694,"C"
"EG138","Siwa 75/30","Open air site","Qattara/Siwa","EG",29.6333,26.5,"C"
"EG127","Site 76/24","Open air site","Qattara/Siwa","EG",29.8333,26.1694,"C"
"EG139","Siwa 76/11-7","Open air site","Qattara/Siwa","EG",29.8333,26.1694,"C"
"EG036","Hatiet Um El Hiyus - Siwa 75/31","Open air site","Qattara/Siwa","EG",29.2856,25.8304,"B"
"EG056","Merimde Beni Salame","Settlement","Delta","EG",30.3011,30.8403,"A"
"EG055","Merimde Abu Ghalib","Settlement","Delta","EG",30.2677,30.94,"C"
"EG054","Maadi","Settlement","Delta","EG",29.9572,31.2781,"C"
"EG008","Buto","Settlement","Delta","EG",31.1964,30.7447,"A"
"EG019","El Omari","Settlement","Delta","EG",29.8833,31.3333,"C"
"EG075","Sais","Settlement","Delta","EG",30.9647,30.7683,"A"
"EG059","Minshat Abu Omar","Settlement","Delta","EG",30.8572,32.0194,"A"
"EG147","Tell El Maskhuta",NULL,"Delta","EG",30.5528,32.0994,"C"
"EG157","Wadi Deir","Rock shelter","Lower Egypt","EG",28.85,32.55,"C"
"EG158","Wadi Digla","Open air site","Delta","EG",29.9667,31.3,"B"
"EG045","Kom el-Hisn","Settlement","Delta","EG",30.795,30.6003,"A"
"EG148","Tell el-Dab'a","Settlement","Delta","EG",30.7864,31.8231,"A"
"EG151","Undefined site Eastern Delta",NULL,"Delta","EG",30.9489,31.9658,"C"
"EG150","Tura","Tura caves","Lower Egypt","EG",29.9489,31.305,"A"
"EG100","Saqqara Step Pyramid Complex","Funerary complex","Lower Egypt","EG",29.8712,31.2166,"A"
"EG052","Ma'asara Tomb 6","Funerary complex","Lower Egypt","EG",29.8823,31.2929,"C"
"EG142","Tarkhan tomb 2050","Funerary complex","Nile Valley at Fayum","EG",29.5083,31.2167,"C"
"EG143","Tarkhan tomb 2053","Funerary complex","Nile Valley at Fayum","EG",29.5114,31.2485,"C"
"EG145","Tarkhan Late Period Cemetery","Funerary complex","Nile Valley at Fayum","EG",29.5083,31.2167,"C"
